breed_slug,platform,account_name,profile_url,handle,followers_seen,note,date_added,status
australian-labradoodle,FB,ALAA,https://www.facebook.com/alaalabradoodles/,@alaalabradoodles,,US association page,2026-07-15,new
australian-labradoodle,FB,ALAUK Australian Labradoodles,https://www.facebook.com/Australianlabradoodleassociationuk.co.uk/,page,,UK association page,2026-07-15,new
australian-labradoodle,FB,Adam's Australian Labradoodles,https://www.facebook.com/amazingsouldogs/,@amazingsouldogs,,US breeder page,2026-07-15,new
australian-labradoodle,FB,Aussie Labradoodle,https://www.facebook.com/AussieLabradoodle/,@AussieLabradoodle,,US multi-gen breeder page,2026-07-15,new
australian-labradoodle,FB,Australian Labradoodle Association,https://www.facebook.com/alalabradoodles/,@alalabradoodles,,Australian founding association (since 1998),2026-07-15,new
australian-labradoodle,FB,Australian Labradoodle Owners (group),https://www.facebook.com/groups/690166386288506/,group,,Active owners group (breed-identity chat threads seen),2026-07-15,new
australian-labradoodle,FB,Australian Labradoodles Worldwide Owners & Fans,https://www.facebook.com/groups/australianlabradoodlesowners/,group,,Global owners/fans group,2026-07-15,new
australian-labradoodle,FB,Mountain Creek Labradoodles,https://www.facebook.com/mountaincreeklabradoodles/,@mountaincreeklabradoodles,,Greenville SC breeder page,2026-07-15,new
australian-labradoodle,FB,WALA,https://www.facebook.com/walalabradoodles/,@walalabradoodles,,Worldwide association page,2026-07-15,new
australian-labradoodle,IG,ALAA,https://www.instagram.com/alaalabradoodles/,@alaalabradoodles,"9,000",Official US association account,2026-07-15,new
australian-labradoodle,IG,Amelia Island Doodles,https://www.instagram.com/ameliaislanddoodles/,@ameliaislanddoodles,"3,108",Multigenerational ALD breeder (US),2026-07-15,new
australian-labradoodle,IG,Australian Labradoodle Association,https://www.instagram.com/australian_labradoodle_assoc/,@australian_labradoodle_assoc,,Association account,2026-07-15,new
australian-labradoodle,IG,Barney the Australian Labradoodle,https://www.instagram.com/barneytheaustralianlabradoodle/,@barneytheaustralianlabradoodle,,UK individual dog account,2026-07-15,new
australian-labradoodle,IG,Blessed Day Doodles,https://www.instagram.com/blesseddaydoodles/,@blesseddaydoodles,"3,004",Kansas City ALD + Goldendoodle breeder (Tera Mueller),2026-07-15,new
australian-labradoodle,IG,Canadoodles,https://www.instagram.com/canadoodles/,@canadoodles,"1,528",Canadian home-raised ALD breeder,2026-07-15,new
australian-labradoodle,IG,Lily Hill ALD,https://www.instagram.com/lilyhillald/,@lilyhillald,922,SE UK breeder,2026-07-15,new
australian-labradoodle,IG,Ozzy the Australian Labradoodle,https://www.instagram.com/the.ozzy.tails/,@the.ozzy.tails,17K,Individual ALD in Southern California — biggest ALD dog account found,2026-07-15,new
australian-labradoodle,IG,Ripleys Australian Labradoodles,https://www.instagram.com/ripleysaustralianlabradoodles/,@ripleysaustralianlabradoodles,"2,227",UK 5-star council-registered home breeder,2026-07-15,new
australian-labradoodle,IG,Tora's Australian Labradoodles,https://www.instagram.com/toralabradoodles/,@toralabradoodles,"5,501",Scotland licensed breeder,2026-07-15,new
australian-labradoodle,IG,Willows Labradoodles,https://www.instagram.com/willows_australian_labradoodle/,@willows_australian_labradoodle,"9,039",SE England home breeder — largest UK ALD breeder account seen,2026-07-15,new
belgian-malinois,FB,ABMC — American Belgian Malinois Club,https://www.facebook.com/groups/malinoisclub/,group,,Official parent-club group,2026-07-15,new
belgian-malinois,FB,American Belgian Malinois Rescue,https://www.facebook.com/AmericanBelgianMalinoisRescue/,@AmericanBelgianMalinoisRescue,,Rescue page (Amherst Junction WI); also group /groups/1389286684645077/,2026-07-15,new
belgian-malinois,FB,Asgard Malinois,https://www.facebook.com/asgard.malinois/,@asgard.malinois,,Mal content page (viral video seen),2026-07-15,new
belgian-malinois,FB,Belgian Malinois Club,https://www.facebook.com/belgianmalinoisclub/,@belgianmalinoisclub,"5,866 likes",Enthusiast page + linked group,2026-07-15,new
belgian-malinois,FB,Belgian Malinois Dog Owners,https://www.facebook.com/groups/544472324228298/,group,,Owner group,2026-07-15,new
belgian-malinois,FB,Belgian Malinois Owners,https://www.facebook.com/groups/875593134371926/,group,,Owner group,2026-07-15,new
belgian-malinois,FB,Belgian Malinois Owners UK,https://www.facebook.com/groups/850442027095287/,group,,UK owner group,2026-07-15,new
belgian-malinois,FB,Montana Belgian Malinois and Dutch Shepherd Rescue,https://www.facebook.com/mtmalidutchrescue/,@mtmalidutchrescue,,Regional rescue page,2026-07-15,new
belgian-malinois,IG,Belgian Mal Memes,https://www.instagram.com/belgianmalmemes/,@belgianmalmemes,10K,Meme account,2026-07-15,new
belgian-malinois,IG,Belgian Malinois IG,https://www.instagram.com/belgian_malinois.ig/,@belgian_malinois.ig,176K,Breed fan account,2026-07-15,new
belgian-malinois,IG,Belgian Malinois Tails,https://www.instagram.com/belgianmalinoistails/,@belgianmalinoistails,730,Rehomed police dog story account,2026-07-15,new
belgian-malinois,IG,Bella Maligator,https://www.instagram.com/bella_belgianmalinoiscanecorso/,@bella_belgianmalinoiscanecorso,146K,Mal + Corso household — covers 2 of our 3 breeds,2026-07-15,new
belgian-malinois,IG,Dallas Belgian Malinois,https://www.instagram.com/dallasbelgianmalinois/,@dallasbelgianmalinois,766,"Breeder account, Dallas TX",2026-07-15,new
belgian-malinois,IG,Duke the Belgian Malinois,https://www.instagram.com/mal_duke_pr/,@mal_duke_pr,,Dog account,2026-07-15,new
belgian-malinois,IG,Instamalinois,https://www.instagram.com/instamalinois/,@instamalinois,93K,Breed fan account,2026-07-15,new
belgian-malinois,IG,Life With Malinois (Loryn Cook),https://www.instagram.com/life.with.malinois/,@life.with.malinois,27K,Named owner-creator — good quote prospect,2026-07-15,new
belgian-malinois,IG,Malinois Army,https://www.instagram.com/malinois.army/,@malinois.army,98K,Daily Mal posts,2026-07-15,new
belgian-malinois,IG,Malinois Lovers,https://www.instagram.com/malinois_lovers/,@malinois_lovers,210K,Breed account w/ training resources,2026-07-15,new
belgian-malinois,IG,Monkey the Malinois,https://www.instagram.com/monkey_the_malinois_official/,@monkey_the_malinois_official,"1,468",London-based dog account,2026-07-15,new
belgian-malinois,IG,The Belgian Malinois,https://www.instagram.com/malinoisthebelgian/,@malinoisthebelgian,"5,737",Mal/K9 fan account,2026-07-15,new
bernedoodle,FB,Bernedoodle Buddies,https://www.facebook.com/BernedoodleBuddies/,@BernedoodleBuddies,,"Family-raised bernedoodles page, Lexington OH",2026-07-15,new
bernedoodle,FB,Bernedoodle Lovers Community,https://www.facebook.com/groups/1056063079179164/,group,,Enthusiast group,2026-07-15,new
bernedoodle,FB,Bernedoodle Lovers Group,https://www.facebook.com/groups/1442051563191691/,group,,Enthusiast group,2026-07-15,new
bernedoodle,FB,Bernedoodle Owners Group,https://www.facebook.com/groups/1291697651459782/,group,,Active owners group (breeder-referral + care posts seen),2026-07-15,new
bernedoodle,FB,Bernedoodle lovers,https://www.facebook.com/groups/bernedoodleloversd/,group,,Enthusiast group,2026-07-15,new
bernedoodle,FB,Bernedoodle.do,https://www.facebook.com/bernedoodledo/,@bernedoodledo,,Page of bernedoodledo.com content site,2026-07-15,new
bernedoodle,FB,Bernedoodles and Co California,https://www.facebook.com/bernedoodlesandco/,@bernedoodlesandco,12K likes,CA puppies page,2026-07-15,new
bernedoodle,FB,Rocky Mountain Bernedoodles,https://www.facebook.com/rockymountainbernedoodles/,@rockymountainbernedoodles,,Breeder page (bernedoodlebreeder.com),2026-07-15,new
bernedoodle,IG,Beloved Bernedoodles,https://www.instagram.com/belovedbernedoodles/,@belovedbernedoodles,"6,495",SoCal breeder,2026-07-15,new
bernedoodle,IG,Benji The Bernedoodle,https://www.instagram.com/lilmanlife/,@lilmanlife,587K,"Van-life bernedoodle, biggest breed account found",2026-07-15,new
bernedoodle,IG,Bernedoodle Hoodoodles,https://www.instagram.com/bernedoodle_hoodoodles/,@bernedoodle_hoodoodles,,Puppy/breeder account,2026-07-15,new
bernedoodle,IG,Bernedoodles of Insta,https://www.instagram.com/bernedoodlesofinsta/,@bernedoodlesofinsta,,Community/feature account — reposts owner dogs; strong fit for vote-rally content,2026-07-15,new
bernedoodle,IG,Bernie Doodle in LA,https://www.instagram.com/berniedoodleinla/,@berniedoodleinla,,Owner account,2026-07-15,new
bernedoodle,IG,Bernie The Bernedoodle,https://www.instagram.com/berniebernedoodle/,@berniebernedoodle,"1,185",Bay Area F1 mini owner account,2026-07-15,new
bernedoodle,IG,Boomer the Mini Bernedoodle,https://www.instagram.com/boomer_the__bernedoodle/,@boomer_the__bernedoodle,"1,600",F1 mini owner account,2026-07-15,new
bernedoodle,IG,Down Home Doodle,https://www.instagram.com/downhomedoodle/,@downhomedoodle,106K,Breeder+trainer Samantha Nelson (site downhomedoodle.com),2026-07-15,new
bernedoodle,IG,Great Lakes Bernedoodles,https://www.instagram.com/greatlakesbernedoodles/,@greatlakesbernedoodles,"2,746","Breeder, standard/medium/mini",2026-07-15,new
bernedoodle,IG,Moose the Mini Bernedoodle,https://www.instagram.com/moose_bernedoodle/,@moose_bernedoodle,,Owner account,2026-07-15,new
bernedoodle,IG,Renowned Bernedoodle Puppies,https://www.instagram.com/renowned_bernedoodle_puppies/,@renowned_bernedoodle_puppies,"2,241",Breeder account,2026-07-15,new
bernedoodle,IG,Walnut Valley Puppies,https://www.instagram.com/walnutvalleypuppies/,@walnutvalleypuppies,18K,IL bernedoodle breeder,2026-07-15,new
bernese-mountain-dog,FB,BMD Club of Great Britain,https://www.facebook.com/BMDCGB/,@BMDCGB,,Official UK club page,2026-07-15,new
bernese-mountain-dog,FB,BMD Club of Nashoba Valley,https://www.facebook.com/bmdcnv/,@bmdcnv,,New England club since 1981,2026-07-15,new
bernese-mountain-dog,FB,BMD Club of Northern California,https://www.facebook.com/bmdcnc/,@bmdcnc,,Regional club,2026-07-15,new
bernese-mountain-dog,FB,BMD Club of SE Wisconsin,https://www.facebook.com/BMDCSEW/,@BMDCSEW,,Regional club page,2026-07-15,new
bernese-mountain-dog,FB,BMD Rescue for BMDCW,https://www.facebook.com/bernerrescueNYNJPA/,@bernerrescueNYNJPA,,NY/NJ/PA rescue volunteers,2026-07-15,new
bernese-mountain-dog,FB,Bernese Mountain Dog (group),https://www.facebook.com/groups/bernesemountaindog/,group,,Active owner group (advice/meetup posts seen),2026-07-15,new
bernese-mountain-dog,FB,Bernese Mountain Dog Club of America,https://www.facebook.com/bmdca/,@bmdca,"21,047 likes",Official parent-club page,2026-07-15,new
bernese-mountain-dog,FB,Bernese Mountain Dog Club of Canada,https://www.facebook.com/BMDCC/,@BMDCC,,National club page,2026-07-15,new
bernese-mountain-dog,FB,Bernese Mountain Dog Lovers,https://www.facebook.com/BMDLovers/,@BMDLovers,"61,115 likes",Owner/admirer community page,2026-07-15,new
bernese-mountain-dog,FB,Bernese Mountain Dogs in the Rockies,https://www.facebook.com/bmd.org/,@bmd.org,,Rocky Mountain community,2026-07-15,new
bernese-mountain-dog,FB,Chattahoochee Valley BMD Club,https://www.facebook.com/CVBMDC/,@CVBMDC,,Official SE regional club & rescue (Atlanta),2026-07-15,new
bernese-mountain-dog,FB,Chicago Berner Club,https://www.facebook.com/ChicagoBernerClub/,@ChicagoBernerClub,,Local meetups/play dates,2026-07-15,new
bernese-mountain-dog,FB,Sierra West BMD Club,https://www.facebook.com/SWBMDC/,@SWBMDC,,Regional club page,2026-07-15,new
bernese-mountain-dog,IG,Bernese Daily,https://www.instagram.com/bernesedaily/,@bernesedaily,114K,"""Daily dose of Berner addiction"" fan page, 1,840 posts",2026-07-15,new
bernese-mountain-dog,IG,Bernese Hub,https://www.instagram.com/bernesehub/,@bernesehub,,Fan page,2026-07-15,new
bernese-mountain-dog,IG,Bernese Mountain Dog Lovers,https://www.instagram.com/bernesemountaindoglovers/,@bernesemountaindoglovers,160K,Community/fan page,2026-07-15,new
bernese-mountain-dog,IG,Bernese Mountain Dogs,https://www.instagram.com/bernesemountaindogs/,@bernesemountaindogs,24K,"Fan page, exact-match handle",2026-07-15,new
bernese-mountain-dog,IG,Bernie in Maine,https://www.instagram.com/bernieinmaine/,@bernieinmaine,"1,134","Individual dog, Maine",2026-07-15,new
bernese-mountain-dog,IG,Breaking Trail Berners,https://www.instagram.com/breakingtrailberners/,@breakingtrailberners,,Adventure/outdoors Berners,2026-07-15,new
bernese-mountain-dog,IG,Kevin the Berner,https://www.instagram.com/itskevintheberner/,@itskevintheberner,141K,Individual dog account,2026-07-15,new
bernese-mountain-dog,IG,Klueso Kapel,https://www.instagram.com/kluesokapel_bmd/,@kluesokapel_bmd,67K,Perth dog; handle+count seen in helloBARK roundup snippet (URL constructed from handle),2026-07-15,new
bernese-mountain-dog,IG,Mack the Berner,https://www.instagram.com/mack_the_berner/,@mack_the_berner,45K,"Individual dog, Adelaide Australia",2026-07-15,new
bernese-mountain-dog,IG,Mini Mountain Puppies,https://www.instagram.com/mini_bernese_mountain_dogs/,@mini_bernese_mountain_dogs,"9,573",Miniature Berner breeder,2026-07-15,new
bernese-mountain-dog,IG,Paradise Bernese Mountain Dogs,https://www.instagram.com/paradisebernesemountaindogs/,@paradisebernesemountaindogs,"4,472",Family breeder,2026-07-15,new
bernese-mountain-dog,IG,Swiss Mountain Bernese,https://www.instagram.com/swissmountainbernese/,@swissmountainbernese,872,"AKC breeder, SE Idaho",2026-07-15,new
bernese-mountain-dog,IG,The Berner Bunch,https://www.instagram.com/thebernerbunch/,@thebernerbunch,541K,Rescue Berners — biggest Berner IG found,2026-07-15,new
bernese-mountain-dog,IG,Uschi the BMD,https://www.instagram.com/uschi_the.bernese.mountain.dog/,@uschi_the.bernese.mountain.dog,,Individual dog account,2026-07-15,new
cane-corso,FB,CCAA,https://www.facebook.com/CCAAOfficial/,@CCAAOfficial,,Parent club page,2026-07-15,new
cane-corso,FB,Cane Corso Group,https://www.facebook.com/groups/947098943774712/,group,,Breed group,2026-07-15,new
cane-corso,FB,Cane Corso Owner's Group of Upstate NY,https://www.facebook.com/groups/527455054779236/,group,,Regional owner group,2026-07-15,new
cane-corso,FB,Cane Corso Owners,https://www.facebook.com/groups/2613258815478724/,group,,Owner group,2026-07-15,new
cane-corso,FB,Cane Corso Owners & Lovers,https://www.facebook.com/groups/canecorsoplanet/,group,,Owner group,2026-07-15,new
cane-corso,FB,Cane Corso Rescue,https://www.facebook.com/CaneCorsoRescue/,@CaneCorsoRescue,,National rescue's page,2026-07-15,new
cane-corso,FB,The Cane Corso Club Of America,https://www.facebook.com/groups/thecanecorsoclubofamerica/,group,,Club-branded group,2026-07-15,new
cane-corso,FB,The Cane Corso Group,https://www.facebook.com/groups/2208815579/,group,,Long-running breed group,2026-07-15,new
cane-corso,FB,The Cane Corso Working Group,https://www.facebook.com/iccfworking/,@iccfworking,,Working-character preservation page,2026-07-15,new
cane-corso,FB,West Coast Cane Corso Rescue,https://www.facebook.com/westcoastcanecorsorescue/,@westcoastcanecorsorescue,,"FB-only rescue, listed on CCAA rescue page",2026-07-15,new
cane-corso,FB,Western Mass Cane Corso Community,https://www.facebook.com/WesternMassCaneCorso/,@WesternMassCaneCorso,,Regional community page,2026-07-15,new
cane-corso,IG,Americana Cane Corso,https://www.instagram.com/americana_cane_corso/,@americana_cane_corso,20K,US breeder account,2026-07-15,new
cane-corso,IG,Apriori Best Cane Corso,https://www.instagram.com/apriori_best_canecorso/,@apriori_best_canecorso,96K,"Show kennel, 6x World Winner",2026-07-15,new
cane-corso,IG,CCAA,https://www.instagram.com/canecorsoassociationofamerica/,@canecorsoassociationofamerica,,Parent club account,2026-07-15,new
cane-corso,IG,Cane Corso Brasil,https://www.instagram.com/canecorso.brasil/,@canecorso.brasil,54K,Brazil-based fan account (likely Portuguese),2026-07-15,new
cane-corso,IG,Cane Corso Gram,https://www.instagram.com/cane.corso.gram/,@cane.corso.gram,139K,Cute-Corso content account,2026-07-15,new
cane-corso,IG,Cane Corso Ins,https://www.instagram.com/cane_corso_ins/,@cane_corso_ins,143K,Largest Corso fan account seen,2026-07-15,new
cane-corso,IG,Canil Cave Cane,https://www.instagram.com/canecorsobrasil/,@canecorsobrasil,40K,Brazil kennel (likely Portuguese),2026-07-15,new
cane-corso,IG,Drax the Corso,https://www.instagram.com/drax_the_corso/,@drax_the_corso,97K,Grand Champion; 1M on TikTok — big crossover reach,2026-07-15,new
cane-corso,IG,Mad River Cane Corso,https://www.instagram.com/madrivercanecorso/,@madrivercanecorso,,Breeder account (pairs with website row),2026-07-15,new
cane-corso,IG,Matt King Corso,https://www.instagram.com/matt_king_corso/,@matt_king_corso,48K,"Australia, guardian-training content",2026-07-15,new
cane-corso,IG,Rivalry Cane Corso (Django),https://www.instagram.com/canecorso_django/,@canecorso_django,,Dog account,2026-07-15,new
cane-corso,IG,Thoroughbred Cane Corso,https://www.instagram.com/thoroughbredcanecorso/,@thoroughbredcanecorso,77K,LA breeder (email on website — pairs with website row),2026-07-15,new
cane-corso,IG,West Coast Cane Corso Rescue,https://www.instagram.com/west_coast_cane_corso_rescue/,@west_coast_cane_corso_rescue,34K,Rescue with real social reach — strong outreach target,2026-07-15,new
cavapoo,FB,Cavapoo & Co,https://www.facebook.com/cavapooco/,@cavapooco,,"""Go-to source for all things Cavapoo"" page",2026-07-15,new
cavapoo,FB,Cavapoo Community (education & referrals),https://www.facebook.com/groups/2049640502015853/,group,,Education/referral-focused group,2026-07-15,new
cavapoo,FB,Cavapoo Lovers & Owners Group,https://www.facebook.com/groups/7674216555956965/,group,,Lovers + owners group,2026-07-15,new
cavapoo,FB,Cavapoo Owners,https://www.facebook.com/groups/cavapooowners/,group,,Large owners group,2026-07-15,new
cavapoo,FB,Cavapoo Owners Group,https://www.facebook.com/groups/1109524262736296/,group,,Second owners group,2026-07-15,new
cavapoo,FB,Official UK Cavachon And Cavapoo Society,https://www.facebook.com/groups/1385451595037733/,group,,UK society group,2026-07-15,new
cavapoo,FB,The Cavapoo Club,https://www.facebook.com/Cavapooclub/,@Cavapooclub,"6,150 likes","Community page, photo/video sharing",2026-07-15,new
cavapoo,IG,Benji the Cavapoo,https://www.instagram.com/mybuddybenji/,@mybuddybenji,238K,"Top cavapoo influencer, Indiana",2026-07-15,new
cavapoo,IG,Cavapoo Peach,https://www.instagram.com/cavapoopeachy/,@cavapoopeachy,,"Owner account, seen in ""best cavapoo IG"" results",2026-07-15,new
cavapoo,IG,Cavapoo Sally,https://www.instagram.com/cavapoo/,@cavapoo,,Owns the bare @cavapoo handle,2026-07-15,new
cavapoo,IG,Cavapoo World,https://www.instagram.com/cavapooworld/,@cavapooworld,,Cavapoo community/feature account,2026-07-15,new
cavapoo,IG,Cavapoos of Ontario,https://www.instagram.com/cavapoosofontario/,@cavapoosofontario,"2,398","Regional cavapoo community, Canada",2026-07-15,new
cavapoo,IG,Cooper the Cavapoo,https://www.instagram.com/cavapoo_cooper/,@cavapoo_cooper,12K,"""Retired doggie influencer,"" US east coast — ""chicken nugget with legs""",2026-07-15,new
cavapoo,IG,Grace's Puppies,https://www.instagram.com/gracespuppies/,@gracespuppies,,Cavapoo breeder account,2026-07-15,new
cavapoo,IG,India the cutest Cavapoo,https://www.instagram.com/india_cavapoo/,@india_cavapoo,"4,298",UK owner account,2026-07-15,new
cavapoo,IG,Kaia the Toy Cavapoo,https://www.instagram.com/kaiathetoy/,@kaiathetoy,"1,497",Toy cavapoo owner account,2026-07-15,new
cavapoo,IG,Kathy's Cavapoo Puppies,https://www.instagram.com/kathyscavapoos/,@kathyscavapoos,"2,254","Breeder, Chattanooga TN",2026-07-15,new
cavapoo,IG,My Cavapoos,https://www.instagram.com/mycavapoos/,@mycavapoos,"2,054","F1 cavapoo breeder, Washington state",2026-07-15,new
cavapoo,IG,Southern California Cavapoos,https://www.instagram.com/socal.cavapoos/,@socal.cavapoos,"4,673","Family breeder account, SoCal",2026-07-15,new
cavapoo,IG,The Cavapoos Of Insta,https://www.instagram.com/cavapoo_insta/,@cavapoo_insta,436,"Community account, user-submitted cavapoo photos — feature-swap prospect",2026-07-15,new
chocolate-lab,FB,Chocolate Lab Lovers (group),https://www.facebook.com/groups/1756947484474765/,group,,Breed-dedicated group,2026-07-15,new
chocolate-lab,FB,Chocolate Lab Lovers (page),https://www.facebook.com/chocolatelablovers/,@chocolatelablovers,2748,"Page welcoming chocolate/black lab pics + stories (2,748 likes)",2026-07-15,new
chocolate-lab,FB,Chocolate Labrador Retriever (group),https://www.facebook.com/groups/3239397852796395/,group,,Breed-dedicated group,2026-07-15,new
chocolate-lab,FB,Labs4Rescue,https://www.facebook.com/labs4rescue,@labs4rescue,,Rescue's official page (runs adoption/fundraising events via FB),2026-07-15,new
chocolate-lab,IG,BoJack the Chocolate Labrador,https://www.instagram.com/bojackthelab/,@bojackthelab,102000,"NY/NJ, biggest breed-dedicated account found",2026-07-15,new
chocolate-lab,IG,Charlie (Lab Way Nesquik),https://www.instagram.com/labrador.chocolate.charlie/,@labrador.chocolate.charlie,,Chocolate lab account,2026-07-15,new
chocolate-lab,IG,Charlie the Chocolate Dog,https://www.instagram.com/chocolatedogcharlie/,@chocolatedogcharlie,,Cancer-survivor story account (via WWR roundup 2019),2026-07-15,new
chocolate-lab,IG,Hershey the Chocolate Labrador,https://www.instagram.com/hersheythechoclab/,@hersheythechoclab,,Individual dog account,2026-07-15,new
chocolate-lab,IG,Hunter the Chocolate Lab,https://www.instagram.com/hunters_adventures/,@hunters_adventures,77000,"Outdoor adventure chocolate lab (""over 77K"" per Wear Wag Repeat)",2026-07-15,new
chocolate-lab,IG,Labs of Insta,https://www.instagram.com/labs_of_insta/,@labs_of_insta,370000,All-lab feature account — repost/feature outreach target,2026-07-15,new
chocolate-lab,IG,Lotte the Labrador,https://www.instagram.com/lotte_thechocolate/,@lotte_thechocolate,,"Chocolate lab, photo-forward (via WWR roundup)",2026-07-15,new
chocolate-lab,IG,MyLabraChildren,https://www.instagram.com/mylabrachildren/,@mylabrachildren,,British labs incl. chocolate (via WWR roundup),2026-07-15,new
chocolate-lab,IG,Nala the Labrador (DogSwiss),https://www.instagram.com/dogswiss/,@dogswiss,50000,"Chocolate lab in the Swiss Alps (""almost 50K"" per Wear Wag Repeat)",2026-07-15,new
chocolate-lab,IG,Oscar the English Labrador,https://www.instagram.com/oscar.the.goof/,@oscar.the.goof,,Goofy English chocolate lab (via WWR roundup),2026-07-15,new
chocolate-lab,IG,Posie,https://www.instagram.com/chocfullofposie/,@chocfullofposie,,Via Wear Wag Repeat roundup (2019 — verify still active),2026-07-15,new
chocolate-lab,IG,Reagan the Chocolate Lab,https://www.instagram.com/hanginwithreagan/,@hanginwithreagan,25000,English chocolate lab,2026-07-15,new
chocolate-lab,IG,Scout the Chocolate Lab,https://www.instagram.com/chocolate_lab_scout/,@chocolate_lab_scout,14000,"""Super sweet, sometimes nutty""",2026-07-15,new
chocolate-lab,IG,Sully the Chocolate Lab,https://www.instagram.com/sullythechocolatelab/,@sullythechocolatelab,,Individual dog account,2026-07-15,new
chocolate-lab,IG,"Willow, George & Henry",https://www.instagram.com/willow.rose.adventures/,@willow.rose.adventures,,Multi-lab snuggle-pic account (via WWR roundup),2026-07-15,new
chocolate-lab,IG,World of Labradors,https://www.instagram.com/worldoflabs/,@worldoflabs,507000,"All-lab feature account, 2,638 posts",2026-07-15,new
cockapoo,FB,Cockapoo Owners (group),https://www.facebook.com/groups/cockapooowners/,group,,Large public owners group,2026-07-15,new
cockapoo,FB,Cockapoo Owners Club (UK) (group),https://www.facebook.com/groups/cockapooclub/,group,,UK owners club group (linked to weebly club site),2026-07-15,new
cockapoo,FB,Cockapoo Owners Club (group),https://www.facebook.com/groups/cockapooownersclub/,group,,Second owners-club group,2026-07-15,new
