breed_slug,name,type,website_url,contact_method,contact_value,email_confidence,already_contacted,note,date_added,status
american-bully,Jackson Bully Kennel Club,breeder,https://jacksonbully.com/,none,https://jacksonbully.com/,,no,"Family pocket/micro breeder, El Paso TX",2026-07-15,new
american-bully,King Built Bullies,breeder,https://kingbuiltbullies.com/,none,https://kingbuiltbullies.com/,,no,Breeder with AB care-guide content,2026-07-15,new
american-bully,Southeast Bully Kennels,breeder,https://southeastbullykennels.com/,email,SoutheastBullyKennels@gmail.com,med,no,Micro/pocket bullies near Charlotte NC; 25+ champions bloodline,2026-07-15,new
american-bully,Venomline Bullies,breeder,https://venomlinebullies.com/,email,texassizebullies@gmail.com,med,yes,Top pocket-bully program (FL); runs big AB blog hub; contact page /pages/contact,2026-07-15,new
american-bully,American Bully Association,club,https://americanbullyassociation.com/,none,https://americanbullyassociation.com/,,no,Registry for all bully breeds,2026-07-15,new
american-bully,American Bully Kennel Club (ABKC),club,https://abkcdogs.net/,email,theabkc@gmail.com,med,no,The original AB registry (2004); contact page at abkcdogs.net/contact/,2026-07-15,new
american-bully,European Bully Kennel Club (EBKC),club,https://ebkc.org/,none,https://ebkc.org/,,no,Worldwide bull-breed pedigree registry since 2008 (English site),2026-07-15,new
american-bully,International Bully Kennel Club (IBKC),club,https://ibkcregistry.com/,form,https://ibkcregistry.com/contact-us/,,no,Bully breed registry,2026-07-15,new
american-bully,The OBKC,club,https://www.theobkc.com/,none,https://www.theobkc.com/,,no,Bully registry,2026-07-15,new
american-bully,AmericanBully.com,media,https://americanbully.com/blogs/news/the-american-bully-community-resources-organizations-and-online-forums-1,none,https://americanbully.com/,,no,Breed-domain site with community-resources blog,2026-07-15,new
american-bully,BULLY KING Magazine,media,https://www.bullykingmagazine.com/,email,Info@bullykingmagazine.com,med,no,#1 bully-breed lifestyle magazine; alt email bullykingmag@gmail.com also seen in snippet,2026-07-15,new
american-bully,Bully Events,media,https://www.bullyevents.com/,none,https://www.bullyevents.com/,,no,Bully show/event listings + ownership blog,2026-07-15,new
american-bully,BullyPedia,other,https://www.bullypedia.net/americanbully/details.php,none,https://www.bullypedia.net/,,no,"Free AB pedigree database, community hub",2026-07-15,new
american-bully,Chicagoland Bully Breed Rescue,rescue,http://www.cbbr.org/,none,http://www.cbbr.org/,,no,35-year bully-breed rescue (incl. AB/pit types),2026-07-15,new
american-bully,New York Bully Crew,rescue,https://www.nybullycrew.org/,none,https://www.nybullycrew.org/,,no,"High-profile bully-breed rescue, NY",2026-07-15,new
australian-labradoodle,Heritage Manor Labradoodles,blog,https://www.heritagemanorlabradoodles.com/blog,none,https://www.heritagemanorlabradoodles.com/,,yes,Ohio ALD breeder blog,2026-07-15,new
australian-labradoodle,Hidden Springs Labradoodles,blog,https://hiddenspringslabradoodles.com/blog/australian-labradoodle/,none,https://hiddenspringslabradoodles.com/,,no,"Breeder blog with ""5 things to know"" style content",2026-07-15,new
australian-labradoodle,Red Desert Doodles,blog,https://reddesertdoodles.com/blog/,none,https://reddesertdoodles.com/,,no,Breeder with lively behind-the-scenes blog,2026-07-15,new
australian-labradoodle,Royal Australian Labradoodles,blog,https://royalaustralianlabradoodles.com/blog/,none,https://royalaustralianlabradoodles.com/,,yes,"Breeder blog: health, food, training, grooming",2026-07-15,new
australian-labradoodle,Snooze and Sniff,blog,https://snoozeandsniff.com/blog/,none,https://snoozeandsniff.com/,,yes,ALD-focused blog by breeder Alina Varga; in-depth breed profiles,2026-07-15,new
australian-labradoodle,Sugar Pine Doodles,blog,https://www.sugarpinedoodles.net/blog/,none,https://www.sugarpinedoodles.net/,,no,"CA in-home breeder with owner-style blog (""A Day in Kona's Life"")",2026-07-15,new
australian-labradoodle,Churchills Australian Labradoodles,breeder,https://www.churchillsaustralianlabradoodles.co.uk/,none,https://www.churchillsaustralianlabradoodles.co.uk/,,no,Licensed Essex UK breeder,2026-07-15,new
australian-labradoodle,Didgeridoodles,breeder,https://www.didgeridoodles.com/,none,https://www.didgeridoodles.com/,,no,Woburn/Milton Keynes UK breeder,2026-07-15,new
australian-labradoodle,Lily Hill Australian Labradoodles,breeder,https://www.lilyhilldoodles.com/,none,https://www.lilyhilldoodles.com/,,no,Berkshire UK breeder; IG @lilyhillald,2026-07-15,new
australian-labradoodle,Minton Manor Labradoodles,breeder,https://www.mintonmanorlabradoodles.com/,none,https://www.mintonmanorlabradoodles.com/,,no,Australian Labradoodle puppies,2026-07-15,new
australian-labradoodle,Northbound Australian Labradoodles,breeder,https://www.northboundaustralianlabradoodles.com/,none,https://www.northboundaustralianlabradoodles.com/,,yes,"UK breeder since 2012; has ""Living with an ALD"" editorial section — good content-collab angle",2026-07-15,new
australian-labradoodle,Regency Reds,breeder,https://www.regencyreds.com/,none,https://www.regencyreds.com/,,no,Kent UK breeder,2026-07-15,new
australian-labradoodle,Ripley's Labradoodles,breeder,https://www.ripleysaustralianlabradoodles.co.uk/,none,https://www.ripleysaustralianlabradoodles.co.uk/,,no,"Small family home breeder, Surrey/Hampshire border",2026-07-15,new
australian-labradoodle,Tora's Australian Labradoodles,breeder,https://www.australian-labradoodles.co.uk/,none,https://www.australian-labradoodles.co.uk/,,no,"Scotland, family-run ~20 yrs; IG @toralabradoodles",2026-07-15,new
australian-labradoodle,Australian Labradoodle Association (Australia),club,https://australianlabradoodleassoc.org.au/,none,https://australianlabradoodleassoc.org.au/,,no,"Original breed association, promoting the breed since 1998",2026-07-15,new
australian-labradoodle,Australian Labradoodle Association UK (ALAUK),club,https://australianlabradoodleassociation.co.uk/,none,https://australianlabradoodleassociation.co.uk/,,no,UK association with approved-breeder register,2026-07-15,new
australian-labradoodle,Australian Labradoodle Association of America (ALAA),club,https://alaa-labradoodles.com/,email,Secretary@alaa-labradoodles.com,med,no,Main US registry since 2004; also Registrar@/om@ addresses seen,2026-07-15,new
australian-labradoodle,Australian Labradoodle Club of America (ALCA),club,https://australianlabradoodleclub.com/,email,AustralianLabradoodleClub@gmail.com,med,no,"""Parent Club"" in America; contact page australianlabradoodleclub.com/contact/",2026-07-15,new
australian-labradoodle,UK Australian Labradoodle Club (UKALC),club,https://www.ukalc.com/,none,https://www.ukalc.com/,,no,Second UK club,2026-07-15,new
australian-labradoodle,Worldwide Australian Labradoodle Association (WALA),club,https://www.walalabradoodles.org/,email,customerservice@walalabradoodles.org,med,no,"International assoc., members in 30 countries; contact page /contact-wala",2026-07-15,new
belgian-malinois,Belgian Malinois Blog,blog,https://malinoisblog.blogspot.com/,none,https://malinoisblog.blogspot.com/,,no,Owner blog on Blogspot — check freshness before outreach,2026-07-15,new
belgian-malinois,Dog Academic (Malinois guide),blog,https://dogacademic.com/belgian-malinois/,none,https://dogacademic.com/belgian-malinois/,,no,Breed-care content site,2026-07-15,new
belgian-malinois,Battle Road K9,breeder,https://battleroadk9.com/index.html,none,https://battleroadk9.com/index.html,,no,"Ex-law-enforcement breeder, KNPV lines",2026-07-15,new
belgian-malinois,Chien Policier Belgian Malinois,breeder,https://www.europeanbelgianmalinois.com/,none,https://www.europeanbelgianmalinois.com/,,no,"NC breeder, 30+ yrs",2026-07-15,new
belgian-malinois,Holzerland K9,breeder,https://holzerlandk9.com/,none,https://holzerlandk9.com/,,no,Protection/service-dog breeder,2026-07-15,new
belgian-malinois,KSDK Malinois,breeder,https://www.ksdkmalinois.com/,none,https://www.ksdkmalinois.com/,,yes,Working-line AKC breeder,2026-07-15,new
belgian-malinois,MikLin Kennels,breeder,https://miklinkennels.com/,none,https://miklinkennels.com/,,no,"Small family breeder, Mals + working GSDs",2026-07-15,new
belgian-malinois,Ot Vitosha Malinois (Ivan Balabanov),breeder,https://www.malinois.com/,none,https://www.malinois.com/,,no,"2x world champion trainer, famous in the breed; premium domain",2026-07-15,new
belgian-malinois,Ruidoso Malinois,breeder,https://ruidosomalinois.com/,none,https://ruidosomalinois.com/,,no,Protection/police-dog breeder-trainer,2026-07-15,new
belgian-malinois,American Belgian Malinois Club (ABMC),club,https://www.malinoisclub.com/abmc/,email,monique@buzzarte.org,high,no,AKC parent club; email seen on contact-us page; maintains breeder referral list,2026-07-15,new
belgian-malinois,American Working Malinois Association,club,https://workingmalinois.org/,none,https://workingmalinois.org/clubs,,no,IGP/working-sport club network,2026-07-15,new
belgian-malinois,Amherst Working Dog Club,club,https://amherstwdc.wixsite.com/awdc,none,,,no,Amherst NY; phone (716) 471-4622 on AWMA directory (email obfuscated),2026-07-15,new
belgian-malinois,Arizona Malinois Club,club,https://eastvalleyworkingdogclub.com,none,,,no,Gilbert AZ; phone (480) 492-4199,2026-07-15,new
belgian-malinois,Big Sky Working Dogs,club,https://bigskyschutzhund.com,none,,,no,Whitehall MT; phone (406) 490-3364,2026-07-15,new
belgian-malinois,Cascade Schutzhund Club,club,https://csc-awma.sportpaws.com,none,,,no,Rochester WA,2026-07-15,new
belgian-malinois,Controlled Chaos Working Dog Club,club,https://ccwdc.sportpaws.com,none,,,no,Crawfordsville IN; phone (317) 650-4616,2026-07-15,new
belgian-malinois,American Belgian Malinois Rescue,rescue,https://www.malinoisrescue.org/,email,info@malinoisrescue.org,high,no,National 501c3 (except west coast); also abmr.rescue@gmail.com,2026-07-15,new
belgian-malinois,Malinois Rescue League,rescue,https://www.malinoisrescueleague.org/,email,adoptions@malinoisrescueleague.org,high,no,Rescues Mals in USA + Canada,2026-07-15,new
belgian-malinois,Malinois and Dutch Shepherd Rescue (MAD),rescue,https://www.madrescueinc.org/,none,https://www.madrescueinc.org/,,no,"MI-based 501c3, Mals + Dutchies",2026-07-15,new
belgian-malinois,Texas Malinois Alliance,rescue,https://www.txmalinoisalliance.com/,none,https://www.txmalinoisalliance.com/,,no,TX 501c3 for Belgian Shepherd dogs,2026-07-15,new
belgian-malinois,Woof Project,rescue,https://www.woofproject.org/,none,https://www.woofproject.org/,,no,Mal/Dutch/working-breed rescue US+Canada,2026-07-15,new
bernedoodle,Arin Solange at Home,blog,https://arinsolangeathome.com/our-bernedoodle/,none,https://arinsolangeathome.com/our-bernedoodle/,,no,"Lifestyle blogger; personal ""what it's like to own a bernedoodle"" post, dog Penny",2026-07-15,new
bernedoodle,Bernedoodle.do,blog,https://www.bernedoodledo.com/blog,none,https://www.bernedoodledo.com/,,no,"Owner-education site, donates proceeds to nonprofits; has FB page too",2026-07-15,new
bernedoodle,BernedoodleBreed.com,blog,https://bernedoodlebreed.com/blog/,none,https://bernedoodlebreed.com/blog/,,no,Pure content blog on bernedoodle behavior/care,2026-07-15,new
bernedoodle,Designer Bernedoodles,blog,https://www.designerbernedoodles.com/bernedoodle-blog,email,Designerbernedoodles@gmail.com,high,no,Breeder blog on temperament/coat care/puppy picking,2026-07-15,new
bernedoodle,Alpine Bernedoodles,breeder,https://www.alpinebernedoodles.com/dog-blog/,none,https://www.alpinebernedoodles.com/dog-blog/,,yes,Colorado breeder with active blog; site blocked automated fetch (403),2026-07-15,new
bernedoodle,Bernedoodle Boutique,breeder,https://www.bernedoodleboutique.com/,none,https://www.bernedoodleboutique.com/,,no,Wisconsin breeder,2026-07-15,new
bernedoodle,Bluegrass Bernedoodles,breeder,https://www.bluegrassbernedoodles.com/bernedoodle-blog,none,https://www.bluegrassbernedoodles.com/,,no,"KY breeder, blog covers breed + training topics",2026-07-15,new
bernedoodle,Down Home Doodle,breeder,https://www.downhomedoodle.com/blog,none,https://www.downhomedoodle.com/blog,,no,"Samantha Nelson, breeder+trainer 14yrs, 106K IG audience",2026-07-15,new
bernedoodle,HC Bernedoodles,breeder,https://www.hcbernedoodles.com/,none,https://www.hcbernedoodles.com/,,no,"Missouri breeder, OFA health-testing angle",2026-07-15,new
bernedoodle,High Desert Family Doodles,breeder,https://highdesertfamilydoodles.com/breeders-blog,none,https://highdesertfamilydoodles.com/breeders-blog,,no,"Goldendoodle+bernedoodle breeder blog (Feedspot-listed, DA 10)",2026-07-15,new
bernedoodle,LK Bernedoodles,breeder,https://www.lkbernedoodles.com/,none,https://www.lkbernedoodles.com/,,no,Oregon (Eugene) breeder,2026-07-15,new
bernedoodle,Namaste Bernedoodles,breeder,https://namastepoodles.com/,none,https://namastepoodles.com/,,no,Texas mini bernedoodle breeder,2026-07-15,new
bernedoodle,Orchard Valley Doodles,breeder,https://orchardvalleydoodles.com/,none,https://orchardvalleydoodles.com/,,no,Standard + mini multigen bernedoodles,2026-07-15,new
bernedoodle,Quail Ridge Poodles & Doodles,breeder,https://quailridgepoodlesanddoodles.com/blog/10-facts-every-first-time-mini-bernedoodle-owner-should-know,none,https://quailridgepoodlesanddoodles.com/,,no,"Southern Maryland family breeder, first-time-owner content",2026-07-15,new
bernedoodle,Rocky Mountain Bernedoodles,breeder,https://www.bernedoodlebreeder.com/,none,https://www.bernedoodlebreeder.com/,,no,One of first US bernedoodle breeders; owns exact-match domain; also on FB,2026-07-15,new
bernedoodle,Rocky Road Doodles,breeder,https://rockyroaddoodles.com/,none,https://rockyroaddoodles.com/,,no,"Utah breeder, ships nationwide",2026-07-15,new
bernedoodle,Shady Oak Doodles,breeder,https://shadyoakdoodles.com/,none,https://shadyoakdoodles.com/,,no,"San Diego, breeding bernedoodles since 2013",2026-07-15,new
bernedoodle,SwissRidge Kennels,breeder,https://swissridgekennels.com/,email,swissridgekennels@gmail.com,high,no,"Coined the ""Bernedoodle"" name — first breeder to cross Bernese x Poodle; great quote source",2026-07-15,new
bernedoodle,Utah Bernedoodles,breeder,https://www.utahbernedoodle.com/bernedoodle-stars-.html,none,https://www.utahbernedoodle.com/,,no,"""Bernedoodle Stars"" page linking customer dogs' IG accounts — good outreach hub",2026-07-15,new
bernedoodle,Walnut Valley Puppies,breeder,https://www.walnutvalleypuppies.com/blog,none,https://www.walnutvalleypuppies.com/blog,,no,"IL breeder blog (training/wellness), 18K IG",2026-07-15,new
bernese-mountain-dog,Berner Mountain Dog,blog,https://bernermountaindog.com/,none,https://bernermountaindog.com/dog-blog/,,no,Breed info + care/training blog,2026-07-15,new
bernese-mountain-dog,BernerWise,blog,https://bernerwise.com/,none,https://bernerwise.com/,,yes,"Owner-run Berner lover site; founder is ex-USA TODAY journalist, fell for breed in 2002",2026-07-15,new
bernese-mountain-dog,Bert and Ernie the Berners,blog,https://www.bertandernietheberners.com/,none,https://www.bertandernietheberners.com/,,no,Minneapolis owner blog — dog-friendly road trips / Midwest adventures with 2 Berners,2026-07-15,new
bernese-mountain-dog,Alpine Berners,breeder,https://alpineberners.com/,none,https://alpineberners.com/,,no,"80-acre farm breeder, Lebanon County PA",2026-07-15,new
bernese-mountain-dog,Blackwood Acres Kennels,breeder,https://www.blackwoodacreskennels.com/,none,https://www.blackwoodacreskennels.com/,,no,Midwest breeder (Chicago/St. Louis/Indy area),2026-07-15,new
bernese-mountain-dog,Champion Creek Kennel,breeder,https://www.championcreekkennel.com/,none,https://www.championcreekkennel.com/about/,,no,"Small family breeder, upstate NY (Cobleskill)",2026-07-15,new
bernese-mountain-dog,Filucy Bay Bernese,breeder,https://www.filucybay.com/,none,https://www.filucybay.com/,,no,"50+ years breeding, Puget Sound WA",2026-07-15,new
bernese-mountain-dog,High Country Kennels,breeder,https://www.highcountrybernese.com/,none,https://www.highcountrybernese.com/,,no,"Colorado breeder, PennHIP/OFA-tested",2026-07-15,new
bernese-mountain-dog,BMD Club of Great Britain,club,https://bernese.co.uk/,email,web@bernese.co.uk,med,no,"Oldest/largest UK Berner club (1971, 1,000+ members); email seen in search snippet",2026-07-15,new
bernese-mountain-dog,BMD Club of SE Wisconsin,club,https://www.bmdcsew.org/,form,https://www.bmdcsew.org/rescue,,no,WI regional club + rescue/rehome,2026-07-15,new
bernese-mountain-dog,BMD Club of Southern California,club,https://www.bmdcsc.org/,none,https://www.bmdcsc.org/,,no,"SoCal regional club, active rescue committee",2026-07-15,new
bernese-mountain-dog,BMD Club of the Greater Twin Cities,club,https://twincitiesbmd.org/,form,https://twincitiesbmd.org/rescue/,,no,"MN regional club, active rescue committee",2026-07-15,new
bernese-mountain-dog,BMDC of Northern California,club,http://www.bmdcnc.org/,none,,,no,own site seen in search (/club-info.html),2026-07-15,new
bernese-mountain-dog,Bernese Mountain Dog Club of America (BMDCA),club,https://www.bmdca.org/,form,https://www.bmdca.org/rescue,,no,National parent club; publishes The Alpenhorn quarterly magazine; regional-club directory,2026-07-15,new
bernese-mountain-dog,Bernese Mountain Dog Club of Watchung,club,https://www.bmdcw.org/,form,https://www.bmdcw.org/index.php/rescue,,no,NY/PA/NJ regional club with rescue arm,2026-07-15,new
bernese-mountain-dog,Bernese Mountain Dog Club of the Rockies (BMDCR),club,https://www.bmdcr.org/,none,https://www.bmdcr.org/,,no,CO/UT/NM/WY regional club since 1989,2026-07-15,new
bernese-mountain-dog,Bernese Mountain Dogs in the Rockies (bmd.org),club,https://bmd.org/,none,https://bmd.org/,,no,Long-running Rockies breed-info site + FAQ,2026-07-15,new
bernese-mountain-dog,Blue Ridge Bernese Mountain Dog Club,club,https://www.blueridgebmdc.org/,none,,,no,NC/SC; own site seen in search,2026-07-15,new
bernese-mountain-dog,Northern Bernese Mountain Dog Club,club,https://www.northernbernese.co.uk/,none,https://www.northernbernese.co.uk/,,no,UK northern regional club,2026-07-15,new
bernese-mountain-dog,Potomac Valley BMD Club,club,https://www.pvbmdc.org/,form,https://www.pvbmdc.org/rescues,,no,"Mid-Atlantic regional club, rescue page",2026-07-15,new
bernese-mountain-dog,Berner-Garde Foundation,other,http://www.bernergarde.org,none,http://www.bernergarde.org,,no,"Public breed health/pedigree database, 77K+ dogs",2026-07-15,new
cane-corso,Conley's Cane Corsos,breeder,https://conleyscanecorso.com/,none,https://conleyscanecorso.com/blog-and-articles,,no,Breeder with blog/articles section,2026-07-15,new
cane-corso,Costa Bel Cane Corso,breeder,https://www.costabelcanecorso.com/,none,https://www.costabelcanecorso.com/,,no,"Blog running since 2009, show handling content",2026-07-15,new
cane-corso,Da Boyz Cane Corso,breeder,https://www.daboyzcanecorso.com/,none,https://www.daboyzcanecorso.com/,,no,NE Texas breeder with educational blog section,2026-07-15,new
cane-corso,Fidecore Cane Corso,breeder,https://fidecorecanecorso.com/,none,https://fidecorecanecorso.com/,,no,Illinois breeder,2026-07-15,new
cane-corso,Mad River Cane Corso,breeder,https://madrivercanecorso.com/,none,https://madrivercanecorso.com/,,no,Award-winning breeders Darrel & Jennifer Hamren,2026-07-15,new
cane-corso,Old School Cane Corso,breeder,https://oldschoolcanecorso.com/,email,steve@moralesdesign.net,high,no,"Kennel with active nutrition/care blog; NB email on page looks like the site designer's, not the kennel's",2026-07-15,new
cane-corso,Presidential Cane Corsos,breeder,https://presidentialcanecorsos.com/,none,https://presidentialcanecorsos.com/,,no,"Pearland, TX breeder",2026-07-15,new
cane-corso,Red Rock Canyon Cane Corso,breeder,https://redrockcanyoncanecorso.com/,none,https://redrockcanyoncanecorso.com/cane-corso-dog-rescue/,,no,Breeder that also runs a rescue page,2026-07-15,new
cane-corso,Serafina Cane Corso,breeder,https://serafinacanecorso.com/,none,https://serafinacanecorso.com/,,no,"AKC Breeder of Merit, home-raised",2026-07-15,new
cane-corso,The Family's Cane Corso,breeder,https://www.thefamilyscanecorso.com/,none,https://www.thefamilyscanecorso.com/blog,,no,Breeder blog with puppy/event updates,2026-07-15,new
cane-corso,Thoroughbred Cane Corso,breeder,https://thoroughbredcanecorso.com/,email,info@thoroughbredcanecorso.com,high,no,"LA breeder, champion bloodlines; 77K IG audience",2026-07-15,new
cane-corso,Valle del Salso,breeder,https://www.valledelsalso.com/en/blog/,none,https://www.valledelsalso.com/en/blog/,,no,Italian family breeder with English-language blog,2026-07-15,new
cane-corso,Vulcan Cane Corso,breeder,https://www.vulcancanecorso.com/,none,https://www.vulcancanecorso.com/,,no,Breeder,2026-07-15,new
cane-corso,Wolf Creek Cane Corsos,breeder,https://wolfcreekcanecorsos.com/,none,https://wolfcreekcanecorsos.com/,,no,Breeder,2026-07-15,new
cane-corso,Cane Corso Association of America (CCAA),club,https://www.canecorso.org/,none,https://www.canecorso.org/,,no,AKC parent club; runs its own blog + rescue committee + breeder list,2026-07-15,new
cane-corso,"Cane Corso Rescue, Inc.",rescue,https://canecorsorescue.org/,none,https://canecorsorescue.org/,,no,"National rescue, 1,500+ dogs since 2005",2026-07-15,new
cane-corso,Must Love Corsos Rescue,rescue,https://mustlovecorsosrescue.org/,email,info@mustlovecorsosrescue.org,high,no,Community-based nonprofit rescue,2026-07-15,new
cane-corso,West Coast Cane Corso Rescue,rescue,https://www.wcccr.org/,none,https://www.wcccr.org/,,no,CA/OR/WA 501c3 est. 2014; also active on IG (34K),2026-07-15,new
cavapoo,Cavapoo Crew,blog,https://cavapoocrew.com/,none,https://cavapoocrew.com/,low,yes,Owner blog following Arlo the F1b cavapoo from 8 weeks; contact page timed out on fetch,2026-07-15,new
cavapoo,Cavapoo Info,blog,https://cavapooinfo.com/,email,Admin@CavapooInfo.com,high,no,"Run by Sarah, cavapoo owner ""10+ years studying the breed""; email seen on fetched contact page",2026-07-15,new
cavapoo,Cavapoo-Puppy.dog,blog,https://cavapoo-puppy.dog/blog/,none,https://cavapoo-puppy.dog/,low,no,Cavapoo care/training/health article blog,2026-07-15,new
cavapoo,My Doodle Puppy,blog,https://www.mydoodlepuppy.com/,email,contact@mydoodlepuppy.com,high,yes,Covers Maltipoo/Cavapoo/Cockapoo; celebrity-maltipoo articles; email on fetched contact page,2026-07-15,new
cavapoo,Our Cavapoo,blog,https://ourcavapoo.com/,form,https://ourcavapoo.com/contact/,high,no,"UK owner blog started lockdown 2020, puppyhood-to-adolescence journey; publishes ""best cavapoo blogs"" roundups",2026-07-15,new
cavapoo,The Cavapoo Corner,blog,https://thecavapoocorner.com/,form,https://thecavapoocorner.com/contact/,high,no,"Runs ""9 cute cavapoos to follow on Instagram"" roundups — natural quote/link target",2026-07-15,new
cavapoo,Calla Lily Cavapoo,breeder,https://callalilycavapoo.com/,none,https://callalilycavapoo.com/,low,no,Boutique cavapoo breeder,2026-07-15,new
cavapoo,Catch A Cavapoo,breeder,https://www.catchacavapoo.com/,none,https://www.catchacavapoo.com/,low,no,Central Wisconsin cavapoo breeder,2026-07-15,new
cavapoo,Cavapoo Colorado,breeder,https://cavapoocolorado.com/,none,https://cavapoocolorado.com/,low,no,Colorado cavapoo breeder site,2026-07-15,new
cavapoo,Cavapoo Kennels of Western New York,breeder,https://cavapookennels.com/,none,https://cavapookennels.com/,low,no,Western NY cavapoo breeder,2026-07-15,new
cavapoo,Cavapoo Puppies Place,breeder,https://cavapoopuppiesplace.com/,none,https://cavapoopuppiesplace.com/blog,low,no,WA-based breeder with active blog section,2026-07-15,new
cavapoo,Choice Paws,breeder,https://www.choicepaws.com/,none,https://www.choicepaws.com/,low,no,Home-environment smaller-size cavapoo breeder,2026-07-15,new
cavapoo,Jones Farm Puppies,breeder,https://jonesfarmpuppies.com/,none,https://jonesfarmpuppies.com/,low,no,"NC cavapoo breeder, mini/toy/standard sizes, ships nationwide",2026-07-15,new
cavapoo,Pratt Meadow Puppies,breeder,https://www.pmpuppies.com/,none,https://www.pmpuppies.com/,low,no,Massachusetts cavapoo breeder (Lanesborough MA),2026-07-15,new
cavapoo,Rivers Edge Cavapoos,breeder,https://www.riversedgecavapoos.com/,none,https://www.riversedgecavapoos.com/,low,no,Illinois cavapoo + cavalier breeder,2026-07-15,new
cavapoo,CavapooExpert (Cavapoo Dog Club),club,https://cavapooexpert.com/,form,https://cavapooexpert.com/contact/,high,no,"Free online cavapoo ""club"" community with playdates angle — good fit for a live-show pitch",2026-07-15,new
cavapoo,The Cavapoo Club Great Britain,club,https://www.thecavapooclubgb.co.uk/,none,https://www.thecavapooclubgb.co.uk/,low,no,"Breeder-run UK cavapoo club/resource (Northumberland); site unreachable from sandbox, verify",2026-07-15,new
cavapoo,helloBARK,media,https://hellobark.com/,form,https://hellobark.com/contact/,high,no,"Small-dog media; publishes ""20 Cavapoos To Follow On Instagram"" — roundup/link prospect",2026-07-15,new
cavapoo,Doodle Rock Rescue,rescue,https://doodlerockrescue.org/,form,https://doodlerockrescue.org/contact/,high,no,Dallas TX doodle rescue (cavapoos + maltipoos pass through) — dual-breed prospect,2026-07-15,new
cavapoo,Underdog Rescue MN,rescue,https://underdogrescuemn.com/,email,inquiries@underdogrescuemn.com,med,no,MN small-dog rescue with cavapoo adoptables; email seen in search snippet only,2026-07-15,new
chocolate-lab,Labrador Training HQ,blog,https://www.labradortraininghq.com/,none,https://www.labradortraininghq.com/,,no,"""Everything Labrador Retriever"" training/care content site",2026-07-15,new
chocolate-lab,The Labrador Site,blog,https://www.thelabradorsite.com/,none,https://www.thelabradorsite.com/chocolate-labrador/,,yes,Major Labrador content site; founder's own chocolate lab Rachael inspired it; has dedicated chocolate lab guide,2026-07-15,new
